[limubert] device=cuda
[limubert] corpus: 188888 windows, shape (188888, 120, 6)
Epoch 192/250 : Average Loss 0.1417. Test Loss 0.1416
Epoch 193/250 : Average Loss 0.1419. Test Loss 0.1451
Epoch 194/250 : Average Loss 0.1425. Test Loss 0.1428
Epoch 195/250 : Average Loss 0.1455. Test Loss 0.1436
Epoch 196/250 : Average Loss 0.1430. Test Loss 0.1474
Epoch 197/250 : Average Loss 0.1454. Test Loss 0.1429
Epoch 198/250 : Average Loss 0.1444. Test Loss 0.1505
Epoch 199/250 : Average Loss 0.1443. Test Loss 0.1359
Epoch 200/250 : Average Loss 0.1410. Test Loss 0.1445
Epoch 201/250 : Average Loss 0.1447. Test Loss 0.1433
Epoch 202/250 : Average Loss 0.1401. Test Loss 0.1384
Epoch 203/250 : Average Loss 0.1441. Test Loss 0.1393
Epoch 204/250 : Average Loss 0.1384. Test Loss 0.1403
Epoch 205/250 : Average Loss 0.1460. Test Loss 0.1424
Epoch 206/250 : Average Loss 0.1426. Test Loss 0.1493
Epoch 207/250 : Average Loss 0.1435. Test Loss 0.1431
Epoch 208/250 : Average Loss 0.1398. Test Loss 0.1430
Epoch 209/250 : Average Loss 0.1459. Test Loss 0.1413
Epoch 210/250 : Average Loss 0.1412. Test Loss 0.1363
Epoch 211/250 : Average Loss 0.1399. Test Loss 0.1321
Epoch 212/250 : Average Loss 0.1414. Test Loss 0.1446
Epoch 213/250 : Average Loss 0.1407. Test Loss 0.1434
Epoch 214/250 : Average Loss 0.1409. Test Loss 0.1457
Epoch 215/250 : Average Loss 0.1393. Test Loss 0.1500
Epoch 216/250 : Average Loss 0.1429. Test Loss 0.1425
Epoch 217/250 : Average Loss 0.1427. Test Loss 0.1556
Epoch 218/250 : Average Loss 0.1415. Test Loss 0.1434
Epoch 219/250 : Average Loss 0.1391. Test Loss 0.1313
Epoch 220/250 : Average Loss 0.1428. Test Loss 0.1454
Epoch 221/250 : Average Loss 0.1399. Test Loss 0.1374
Epoch 222/250 : Average Loss 0.1432. Test Loss 0.1449
Epoch 223/250 : Average Loss 0.1397. Test Loss 0.1390
Epoch 224/250 : Average Loss 0.1391. Test Loss 0.1421
Epoch 225/250 : Average Loss 0.1399. Test Loss 0.1396
Epoch 226/250 : Average Loss 0.1388. Test Loss 0.1462
Epoch 227/250 : Average Loss 0.1434. Test Loss 0.1511
Epoch 228/250 : Average Loss 0.1395. Test Loss 0.1418
Epoch 229/250 : Average Loss 0.1428. Test Loss 0.1473
Epoch 230/250 : Average Loss 0.1452. Test Loss 0.1394
Epoch 231/250 : Average Loss 0.1390. Test Loss 0.1448
Epoch 232/250 : Average Loss 0.1408. Test Loss 0.1370
Epoch 233/250 : Average Loss 0.1391. Test Loss 0.1372
Epoch 234/250 : Average Loss 0.1431. Test Loss 0.1425
Epoch 235/250 : Average Loss 0.1406. Test Loss 0.1456
Epoch 236/250 : Average Loss 0.1426. Test Loss 0.1469
Epoch 237/250 : Average Loss 0.1399. Test Loss 0.1402
Epoch 238/250 : Average Loss 0.1403. Test Loss 0.1389
Epoch 239/250 : Average Loss 0.1410. Test Loss 0.1365
Epoch 240/250 : Average Loss 0.1375. Test Loss 0.1411
Epoch 241/250 : Average Loss 0.1392. Test Loss 0.1439
Epoch 242/250 : Average Loss 0.1399. Test Loss 0.1420
Epoch 243/250 : Average Loss 0.1424. Test Loss 0.1411
Epoch 244/250 : Average Loss 0.1385. Test Loss 0.1374
Epoch 245/250 : Average Loss 0.1428. Test Loss 0.1374
Epoch 246/250 : Average Loss 0.1398. Test Loss 0.1428
Epoch 247/250 : Average Loss 0.1390. Test Loss 0.1401
Epoch 248/250 : Average Loss 0.1387. Test Loss 0.1335
Epoch 249/250 : Average Loss 0.1406. Test Loss 0.1391
Epoch 250/250 : Average Loss 0.1414. Test Loss 0.1415
The Total Epoch have been reached.
[limubert] saved backbone -> /home/alex/code/HALO/halo/baselines/limubert/limubert_backbone.pt
